04.07.2020	-166.0	Продукти
04.07.2020	-122.0	Продукти
04.07.2020	-512.0	Продукти
05.07.2020	-1091.0	Товари для дому
05.07.2020	-250.0	Товари для дому
05.07.2020	-19.0	коммуналка
05.07.2020	-162.0	коммуналка
05.07.2020	-128.0	коммуналка
05.07.2020	-146.0	коммуналка
05.07.2020	-228.0	вода
09.07.2020	-86.0	Ресторан
12.07.2020	-703.0	АЗС
14.07.2020	-228.0	вода
15.07.2020	-289.0	Продукти
15.07.2020	-180.0	Поповнення мобільного
15.07.2020	-581.0	коммуналка
18.07.2020	-439.0	Продукти
18.07.2020	-448.0	Продукти
18.07.2020	-1216.0	Товари для дому
18.07.2020	-68.0	Ресторан
19.07.2020	-64.0	Товари для дому
19.07.2020	-192.0	Ресторан
19.07.2020	-310.0	коммуналка
20.07.2020	-43.0	поштові послуги
21.07.2020	-33.0	Продукти
23.07.2020	-31.0	Продукти
23.07.2020	-42.0	поштові послуги
25.07.2020	-71.0	Продукти
25.07.2020	-814.0	АЗС
26.07.2020	-723.0	Продукти
27.07.2020	-112.0	Продукти
27.07.2020	-46.0	Аптека
28.07.2020	-29.0	Продукти
28.07.2020	-58.0	Продукти
28.07.2020	-164.0	Продукти
29.07.2020	-30.0	Продукти
30.07.2020	-121.0	Продукти
30.07.2020	-14.0	Продукти
31.07.2020	-195.0	Ресторан
01.08.2020	-528.0	Продукти
01.08.2020	-14.0	Продукти
01.08.2020	-103.0	Продукти
02.08.2020	-73.0	Продукти
02.08.2020	-54.0	Продукти
03.08.2020	-411.0	Товари для дому
04.08.2020	-41.0	Продукти
05.08.2020	-100.0	Продукти
05.08.2020	-42.0	Продукти
05.08.2020	-270.0	Ресторан
05.08.2020	-18.0	коммуналка
05.08.2020	-96.0	коммуналка
05.08.2020	-118.0	коммуналка
05.08.2020	-178.0	коммуналка
06.08.2020	-45.0	Продукти
06.08.2020	-15.0	Продукти
06.08.2020	-156.0	Ресторан
07.08.2020	-76.0	Продукти
07.08.2020	-30.0	Продукти
08.08.2020	-79.0	Продукти
08.08.2020	-15.0	Продукти
08.08.2020	-79.0	подписки
08.08.2020	-934.0	АЗС
08.08.2020	-55.0	Ресторан
12.08.2020	-181.0	Продукти
12.08.2020	-34.0	Продукти
12.08.2020	-230.0	АЗС
14.08.2020	-680.0	АЗС
15.08.2020	-190.0	Поповнення мобільного
18.08.2020	-12.0	Поповнення мобільного
19.08.2020	-310.0	коммуналка
22.08.2020	-85.0	Продукти
23.08.2020	-615.0	АЗС
24.08.2020	-228.0	вода
30.08.2020	-60.0	Продукти
30.08.2020	-82.0	Продукти
30.08.2020	-675.0	АЗС
05.09.2020	-74.0	коммуналка
05.09.2020	-206.0	коммуналка
05.09.2020	-77.0	коммуналка
05.09.2020	-20.0	коммуналка
06.09.2020	-204.0	Поповнення мобільного
07.09.2020	-231.0	Продукти
07.09.2020	-50.0	Продукти
07.09.2020	-79.0	подписки
07.09.2020	-228.0	вода
09.09.2020	-186.0	Продукти
10.09.2020	-167.0	Продукти
12.09.2020	-190.0	Поповнення мобільного
13.09.2020	-720.0	АЗС
14.09.2020	-724.0	коммуналка
14.09.2020	-207.0	коммуналка
14.09.2020	-870.0	коммуналка
19.09.2020	-310.0	коммуналка
19.09.2020	-228.0	вода
24.09.2020	-60.0	Продукти
24.09.2020	-168.0	Продукти
24.09.2020	-179.0	Продукти
25.09.2020	-252.0	подписки
25.09.2020	-222.0	такси
26.09.2020	-85.0	Продукти
26.09.2020	-362.0	Продукти
26.09.2020	-190.0	Ресторан
29.09.2020	-39.0	Ресторан
29.09.2020	-103.0	Ресторан
29.09.2020	-68.0	такси
30.09.2020	-228.0	вода
02.10.2020	-12.0	Поповнення мобільного
03.10.2020	-231.0	Продукти
03.10.2020	-78.0	Продукти
03.10.2020	-171.0	Продукти
03.10.2020	-354.0	Продукти
03.10.2020	-720.0	АЗС
05.10.2020	-201.0	коммуналка
05.10.2020	-29.0	коммуналка
05.10.2020	-90.0	коммуналка
05.10.2020	-74.0	коммуналка
07.10.2020	-79.0	подписки
09.10.2020	-208.0	Продукти
10.10.2020	-35.0	Продукти
10.10.2020	-165.0	Продукти
10.10.2020	-568.0	Продукти
10.10.2020	-160.0	Продукти
10.10.2020	-190.0	Поповнення мобільного
10.10.2020	-79.0	Товари для дому
10.10.2020	-84.0	Ресторан
10.10.2020	-190.0	Ресторан
14.10.2020	-25.0	АЗС
14.10.2020	-985.0	АЗС
15.10.2020	-114.0	Ресторан
16.10.2020	-67.0	Ресторан
18.10.2020	-85.0	Продукти
18.10.2020	-332.0	Продукти
18.10.2020	-124.0	Поповнення мобільного
18.10.2020	-827.0	АЗС
18.10.2020	-228.0	вода
19.10.2020	-34.0	Продукти
19.10.2020	-199.0	Ресторан
19.10.2020	-598.0	коммуналка
19.10.2020	-420.0	коммуналка
19.10.2020	-301.0	коммуналка
22.10.2020	-360.0	Продукти
22.10.2020	-302.0	Продукти
23.10.2020	-94.0	Продукти
24.10.2020	-518.0	Продукти
24.10.2020	-892.0	АЗС
27.10.2020	-71.0	Продукти
27.10.2020	-109.0	подписки
27.10.2020	-50.0	Ресторан
29.10.2020	-71.0	Продукти
29.10.2020	-150.0	подписки
30.10.2020	-142.0	Продукти
30.10.2020	-12.0	Поповнення мобільного
30.10.2020	-300.0	вода
01.11.2020	-182.0	такси
02.11.2020	-67.0	Продукти
02.11.2020	-44.0	Продукти
04.11.2020	-156.0	Продукти
04.11.2020	-350.0	Заняття спортом
04.11.2020	-2239.0	одежда
05.11.2020	-80.0	Ресторан
05.11.2020	-118.0	коммуналка
05.11.2020	-36.0	коммуналка
05.11.2020	-123.0	коммуналка
05.11.2020	-153.0	коммуналка
06.11.2020	-80.0	подписки
07.11.2020	-190.0	Поповнення мобільного
07.11.2020	-48.0	Ресторан
10.11.2020	-4990.0	Заняття спортом
10.11.2020	-300.0	вода
12.11.2020	-190.0	Заняття спортом
12.11.2020	-498.0	коммуналка
13.11.2020	-76.0	поштові послуги
13.11.2020	-470.0	коммуналка
13.11.2020	-1029.0	коммуналка
14.11.2020	-89.0	Продукти
14.11.2020	-683.0	АЗС
14.11.2020	-840.0	Авто
16.11.2020	-65.0	Продукти
16.11.2020	-168.0	Продукти
16.11.2020	-894.0	подарки
17.11.2020	-190.0	Заняття спортом
18.11.2020	-89.0	Продукти
18.11.2020	-119.0	Ресторан
19.11.2020	-288.0	Продукти
19.11.2020	-301.0	коммуналка
19.11.2020	-300.0	вода
20.11.2020	-170.0	Продукти
21.11.2020	-53.0	Продукти
21.11.2020	-106.0	Продукти
21.11.2020	-273.0	Продукти
21.11.2020	-585.0	Продукти
21.11.2020	-24.0	Аптека
24.11.2020	-380.0	Заняття спортом
